,dialogueID,date,from,to,text
100015,12077.tsv,2005-01-01T13:08:00.000Z,anir,,hope we will get something better linux in the near future which will solve the problems... but till then..
100016,12077.tsv,2005-01-01T13:09:00.000Z,anir,,now Window is coming with LongHorn... its great..
100017,12077.tsv,2005-01-01T13:10:00.000Z,anir,,i have just tried transformation package in XP pro... looks great.. feels great.. and most of all  easy to handle.. and i found it very very stable
100018,12077.tsv,2005-01-01T13:10:00.000Z,anir,,now the ball is in your court LINUX..
100019,12077.tsv,2005-01-01T13:11:00.000Z,anir,,what happened guys.. say something
100020,12077.tsv,2005-01-01T13:13:00.000Z,anir,,guys its nothing about inferrior platform.. tell me why till date more people use windows??
100021,12077.tsv,2005-01-01T13:14:00.000Z,anir,,i am not against linux.. i want to use it and i want it to be better..
100022,12077.tsv,2005-01-01T13:14:00.000Z,anir,,now why dont you listen
100023,12077.tsv,2005-01-01T13:15:00.000Z,anir,,sorry guys...
100024,12077.tsv,2005-01-01T13:15:00.000Z,anir,,i loved ubuntu.. and did not want to leave it.. thats why i hope that it gives me more..
100025,12077.tsv,2005-01-01T13:15:00.000Z,|QuaD-,anir,what did you leave it for?
100026,12077.tsv,2005-01-01T13:16:00.000Z,|QuaD-,anir,want me to help you figure out alternative linux progs?
100027,12077.tsv,2005-01-01T13:18:00.000Z,|QuaD-,anir,what programs do you need?
100028,12077.tsv,2005-01-01T13:19:00.000Z,|QuaD-,anir,"thats the only thing we really can't help you with, unless you like ut2k4 or doom3 :)"
100029,12077.tsv,2005-01-01T13:25:00.000Z,|QuaD-,anir,"games that you would want to play are usuall closed source, so it is more up to the developers"
100030,12077.tsv,2005-01-01T13:29:00.000Z,|QuaD-,anir,"as much as linux distros deviate, many factors stay the same for compatibility reasons"
100031,12077.tsv,2005-01-01T13:31:00.000Z,|QuaD-,anir,your point?
100032,12077.tsv,2005-01-01T13:33:00.000Z,|QuaD-,anir,"people like what they are used to, whats your point. The university i work at (4th largest private institution in the USA) supports linux"
100033,12077.tsv,2005-01-01T13:34:00.000Z,|QuaD-,anir,go to ubuntu-offtopic for this
100034,12077.tsv,2005-01-02T11:44:00.000Z,|QuaD-,anir,"just fine, and you? i thouhgt you are done with linux"
152115,12317.tsv,2004-11-04T12:14:00.000Z,neuro_,,Warning: filesystem does not support multi-terabyte files such as you have just saved
152116,12317.tsv,2004-11-04T12:15:00.000Z,neuro_,,i was about to suggest umount /home && mke2fs /home
152117,12317.tsv,2004-11-04T12:16:00.000Z,neuro_,,"it wouldn't have worked, but it would have been amusing"
152118,12317.tsv,2004-11-04T12:17:00.000Z,neuro_,,even tho his head is in the wrong place?
152119,12317.tsv,2004-11-04T12:17:00.000Z,neuro_,,however i have to suggest tolerance of those not 'in the know'
152120,12317.tsv,2004-11-04T12:18:00.000Z,neuro_,,and agree with bob2
152121,12317.tsv,2004-11-04T12:18:00.000Z,neuro_,,"all it takes is for one 'noob' to come here asking for advice in the wrong way, for them to get brushed off with a dodgy command or three, and it shows up on /. a cpl days later"
152122,12317.tsv,2004-11-04T12:20:00.000Z,neuro_,,yeah but pissing them off won't help matters
152123,12317.tsv,2004-11-04T12:20:00.000Z,neuro_,,"believe me, i've seen the end results"
152124,12317.tsv,2004-11-04T12:20:00.000Z,neuro_,,"i've been a part of the smoothwall project for nearly 4 yrs now, and if you know anything of the project history, you'll know what insulting/patronising users can do, no matter how much or little they know"
152125,12317.tsv,2004-11-04T12:21:00.000Z,ygnome,neuro_,"yes, but Dick started it!"
152126,12317.tsv,2004-11-04T12:21:00.000Z,neuro_,ygnome,true dat :)
152127,12317.tsv,2004-11-04T12:22:00.000Z,neuro_,ygnome,he's really not
152128,12317.tsv,2004-11-04T12:24:00.000Z,ygnome,neuro_,"ah. don't get the list, too much incoming as it is..."
152129,12317.tsv,2004-11-04T12:25:00.000Z,neuro_,ygnome,"on behalf of every other member of the team, apols for that"
152130,12317.tsv,2004-11-04T12:25:00.000Z,ygnome,neuro_,thanks. np. running ipcop now.
152131,12317.tsv,2004-11-04T12:26:00.000Z,neuro_,ygnome,ugh :)
152132,12317.tsv,2004-11-04T12:26:00.000Z,ygnome,neuro_,:)
152133,12317.tsv,2004-11-04T12:27:00.000Z,ygnome,neuro_,I still have an email exchange with DM that would make your hair curl. :)
152134,12317.tsv,2004-11-04T12:27:00.000Z,neuro_,ygnome,betcha i've had worse
275635,1446.tsv,2010-10-28T20:29:00.000Z,kpoorman,,Anyone know how to change what the system understands as the control key ?
275636,1446.tsv,2010-10-28T20:30:00.000Z,coz_,kpoorman,  I believe  xbindkeys
275637,1446.tsv,2010-10-28T20:30:00.000Z,kpoorman,coz_,so there's no system wide way to do it?
275638,1446.tsv,2010-10-28T20:30:00.000Z,coz_,kpoorman, well on gnome you can go to system/preferences/keyboard
275639,1446.tsv,2010-10-28T20:31:00.000Z,coz_,kpoorman,  then Layouts tab  and then click  'Options' button on the bottom
275640,1446.tsv,2010-10-28T20:31:00.000Z,kpoorman,coz_,thats what I'm using (gnome) but I can't find the setting
275641,1446.tsv,2010-10-28T20:31:00.000Z,coz_,kpoorman, look under  preferences/keyboard...layouts tab   Options button
275642,1446.tsv,2010-10-28T20:33:00.000Z,kpoorman,coz_,do I need to  log out / log in ?
275643,1446.tsv,2010-10-28T20:33:00.000Z,coz_,kpoorman,  no it should take effect immediately
275644,1446.tsv,2010-10-28T20:33:00.000Z,coz_,kpoorman,  but  if it doesnt  try the log out
275645,1446.tsv,2010-10-28T20:38:00.000Z,kpoorman,coz_,I've selected the option 'control is mapped to win keys (and the usual ctrl keys)' but cmd-t does not create a new tab in firefox
275646,1446.tsv,2010-10-28T20:39:00.000Z,coz_,kpoorman,mm  oh you want to be able to create a new tab in firefox?
275647,1446.tsv,2010-10-28T20:39:00.000Z,kpoorman,coz_,"well, as an example of the ctrl key being mapped to command"
275648,1446.tsv,2010-10-28T20:40:00.000Z,coz_,kpoorman, mm let me check 'Keyboard' under preferences
275649,1446.tsv,2010-10-28T20:42:00.000Z,coz_,kpoorman,  mm then I am not sure why that doesnt work
275650,1446.tsv,2010-10-28T20:45:00.000Z,kpoorman,coz_,does it work for you ?
275651,1446.tsv,2010-10-28T20:46:00.000Z,kpoorman,coz_,i'm using one of the aluminum keyboards
275652,1446.tsv,2010-10-28T20:46:00.000Z,coz_,kpoorman,  I didnt try it...where exactly is the setting under layouts
275653,1446.tsv,2010-10-28T20:46:00.000Z,kpoorman,coz_,keyboard model
275654,1446.tsv,2010-10-28T20:47:00.000Z,coz_,kpoorman,  I also use easystroke  for things like this    the command can be assigned to a stroke
375059,1446.tsv,2009-04-10T16:43:00.000Z,shlunk,,"i have a folder which is owned by one user and a group which another user is a member of. that folder has r and w permissions set for the group, and the second user can read and write to it through a symlink in a terminal, but not in kate, or dolphin, or whatever"
375060,1446.tsv,2009-04-10T16:43:00.000Z,shlunk,,does anyone know why?
375061,1446.tsv,2009-04-10T16:43:00.000Z,jrib,shlunk,"no, pastebin more information"
375062,1446.tsv,2009-04-10T16:49:00.000Z,jrib,shlunk,use `touch' to show whether you can write to a file or not.  Also include the output of « groups » for those users
375063,1446.tsv,2009-04-10T16:50:00.000Z,shlunk,jrib,thanks - how do i output the groups?
375064,1446.tsv,2009-04-10T16:50:00.000Z,jrib,shlunk,groups USER
375065,1446.tsv,2009-04-10T16:54:00.000Z,jrib,shlunk,do you understand what I meant by using « touch »?
375066,1446.tsv,2009-04-10T16:54:00.000Z,shlunk,jrib,"yep, i can touch the files in that folder as 'andy'"
375067,1446.tsv,2009-04-10T16:55:00.000Z,jrib,shlunk,"So in  a terminal you are able to edit and view the files, correct?  Try hitting reload in dolphin (in gnome at least, you have to hit reload when you change permissions)."
375068,1446.tsv,2009-04-10T16:55:00.000Z,shlunk,jrib,"thanks, i'll give that a try"
375069,1446.tsv,2009-04-10T16:56:00.000Z,shlunk,jrib,"still no luck - it seems to be treating the symlink as a file, rather than a link to a folder elsewhere"
375070,1446.tsv,2009-04-10T16:56:00.000Z,jrib,shlunk,does it work if you don't use the symlink but point it straight to the file?
